canonical_model,manufacturer,source_url
300.9D,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
301.5,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
301.6,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
301.7 CR,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
301.8,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
302 CR,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
302.7 CR,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
303 CR,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
303.5 CR,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
304,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
305 CR,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
306 CR,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
307.5,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
308 CR,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
308 CR VAB,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
309 CR,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
310,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
313,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
313 GC,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
315,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
317,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
317 GC,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
319,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
320,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
320 GC,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
323,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
323 GC,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
325,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
326,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
330,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
330 GC,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
333,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
335,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
336,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
340,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
345,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
350,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
352,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
374,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
395,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators.html
M314,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators/wheel-excavators/126921.html
M315,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators/wheel-excavators/126921.html
M316,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators/wheel-excavators/126921.html
M317,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators/wheel-excavators/126921.html
M318,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators/wheel-excavators/126921.html
M319,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators/wheel-excavators/126921.html
M320,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators/wheel-excavators/126921.html
M322,Caterpillar,https://www.cat.com/en_US/products/new/equipment/excavators/wheel-excavators/126921.html
415,Caterpillar,https://www.cat.com/en_US/products/new/equipment/backhoe-loaders.html
416,Caterpillar,https://www.cat.com/en_US/products/new/equipment/backhoe-loaders.html
420,Caterpillar,https://www.cat.com/en_US/products/new/equipment/backhoe-loaders.html
420 XE,Caterpillar,https://www.cat.com/en_US/products/new/equipment/backhoe-loaders.html
428,Caterpillar,https://www.cat.com/en_US/products/new/equipment/backhoe-loaders.html
430,Caterpillar,https://www.cat.com/en_US/products/new/equipment/backhoe-loaders.html
432,Caterpillar,https://www.cat.com/en_US/products/new/equipment/backhoe-loaders.html
434,Caterpillar,https://www.cat.com/en_US/products/new/equipment/backhoe-loaders.html
440,Caterpillar,https://www.cat.com/en_US/products/new/equipment/backhoe-loaders.html
444,Caterpillar,https://www.cat.com/en_US/products/new/equipment/backhoe-loaders.html
450,Caterpillar,https://www.cat.com/en_US/products/new/equipment/backhoe-loaders.html
PC30MR-5,Komatsu,https://www.komatsu.com/en-us/products/equipment/excavators
PC35MR-5,Komatsu,https://www.komatsu.com/en-us/products/equipment/excavators
PC45MR-5,Komatsu,https://www.komatsu.com/en-us/products/equipment/excavators
PC55MR-5,Komatsu,https://www.komatsu.com/en-us/products/equipment/excavators
PC78US-11,Komatsu,https://www.komatsu.com/en-us/products/equipment/excavators
PC88MR-11,Komatsu,https://www.komatsu.com/en-us/products/equipment/excavators
PC130-11,Komatsu,https://www.komatsu.com/en-us/products/equipment/excavators
PC138USLC-11,Komatsu,https://www.komatsu.com/en-us/products/equipment/excavators
PC170LC-11,Komatsu,https://www.komatsu.com/en-us/products/equipment/excavators
PC210LC-11,Komatsu,https://www.komatsu.com/en-us/products/equipment/excavators
PC210LCi-11,Komatsu,https://www.komatsu.com/en-us/products/equipment/excavators
PC238USLC-11,Komatsu,https://www.komatsu.com/en-us/products/equipment/excavators
PC290LC-11,Komatsu,https://www.komatsu.com/en-us/products/equipment/excavators
PC360LC-11,Komatsu,https://www.komatsu.com/en-us/products/equipment/excavators
PC390LC-11,Komatsu,https://www.komatsu.com/en-us/products/equipment/excavators
PC490LC-11,Komatsu,https://www.komatsu.com/en-us/products/equipment/excavators
PC650LC-11,Komatsu,https://www.komatsu.com/en-us/products/equipment/excavators
PC1250-11,Komatsu,https://www.komatsu.com/en-us/products/equipment/excavators
HB215LC-3,Komatsu,https://www.komatsu.com/en-us/products/equipment/excavators
HB365LC-3,Komatsu,https://www.komatsu.com/en-us/products/equipment/excavators
PC2000-11R,Komatsu,https://www.komatsu.com/en/mining-excavators
PC3000-6,Komatsu,https://www.komatsu.com/en/mining-excavators
PC3000-11,Komatsu,https://www.komatsu.com/en/mining-excavators
PC3400-11M0,Komatsu,https://www.komatsu.com/en/mining-excavators
PC4000-11,Komatsu,https://www.komatsu.com/en/mining-excavators
PC5500-11,Komatsu,https://www.komatsu.com/en/mining-excavators
PC7000-11,Komatsu,https://www.komatsu.com/en/mining-excavators
PC8000-11,Komatsu,https://www.komatsu.com/en/mining-excavators
HX130A LCR,Hyundai,https://www.hyundai-ce.eu/en/products/excavators/crawler-excavators
HX140A L,Hyundai,https://www.hyundai-ce.eu/en/products/excavators/crawler-excavators
HX145A LCR,Hyundai,https://www.hyundai-ce.eu/en/products/excavators/crawler-excavators
HX160A L,Hyundai,https://www.hyundai-ce.eu/en/products/excavators/crawler-excavators
HX180A L,Hyundai,https://www.hyundai-ce.eu/en/products/excavators/crawler-excavators
HX210A L,Hyundai,https://www.hyundai-ce.eu/en/products/excavators/crawler-excavators
HX210,Hyundai,https://www.hyundai-ce.eu/en/products/excavators/crawler-excavators
HX220A L,Hyundai,https://www.hyundai-ce.eu/en/products/excavators/crawler-excavators
HX230,Hyundai,https://www.hyundai-ce.eu/en/products/excavators/crawler-excavators
HX235A LCR,Hyundai,https://www.hyundai-ce.eu/en/products/excavators/crawler-excavators
HX260,Hyundai,https://www.hyundai-ce.eu/en/products/excavators/crawler-excavators
HX300,Hyundai,https://www.hyundai-ce.eu/en/products/excavators/crawler-excavators
HX360,Hyundai,https://www.hyundai-ce.eu/en/products/excavators/crawler-excavators
HX400,Hyundai,https://www.hyundai-ce.eu/en/products/excavators/crawler-excavators
HX480A L,Hyundai,https://www.hyundai-ce.eu/en/products/excavators/crawler-excavators
HX520A L,Hyundai,https://www.hyundai-ce.eu/en/products/excavators/crawler-excavators
HX800A L,Hyundai,https://www.hyundai-ce.eu/en/products/excavators/crawler-excavators
HX1000A L,Hyundai,https://www.hyundai-ce.eu/en/products/excavators/crawler-excavators
DX140LC-7K,Develon,https://eu.develon-ce.com/en/products/crawler-excavators
DX140LC-7,Develon,https://eu.develon-ce.com/en/products/crawler-excavators
DX140LCR-7,Develon,https://eu.develon-ce.com/en/products/crawler-excavators
DX160LC-7HT,Develon,https://eu.develon-ce.com/en/products/crawler-excavators
DX210-7,Develon,https://eu.develon-ce.com/en/products/crawler-excavators
DX210LC-7,Develon,https://eu.develon-ce.com/en/products/crawler-excavators
DX225LC-7,Develon,https://eu.develon-ce.com/en/products/crawler-excavators
DX235LCR-7,Develon,https://eu.develon-ce.com/en/products/crawler-excavators
DX255LC-7,Develon,https://eu.develon-ce.com/en/products/crawler-excavators
DX300LC-7,Develon,https://eu.develon-ce.com/en/products/crawler-excavators
DX350LC-7,Develon,https://eu.develon-ce.com/en/products/crawler-excavators
DX380LC-7,Develon,https://eu.develon-ce.com/en/products/crawler-excavators
DX420LC-7,Develon,https://eu.develon-ce.com/en/products/crawler-excavators
DX490LC-7,Develon,https://eu.develon-ce.com/en/products/crawler-excavators
DX530LC-7,Develon,https://eu.develon-ce.com/en/products/crawler-excavators
DX800LC-7,Develon,https://eu.develon-ce.com/en/products/crawler-excavators
DX100W-7,Develon,https://eu.develon-ce.com/en/products/wheel-excavators
DX140W-7K,Develon,https://eu.develon-ce.com/en/products/wheel-excavators
DX160WE-7K,Develon,https://eu.develon-ce.com/en/products/wheel-excavators
DX160W-7K,Develon,https://eu.develon-ce.com/en/products/wheel-excavators
DX165WR-7K,Develon,https://eu.develon-ce.com/en/products/wheel-excavators
DX170W-7K,Develon,https://eu.develon-ce.com/en/products/wheel-excavators
DX190W-7K,Develon,https://eu.develon-ce.com/en/products/wheel-excavators
DX210W-7K,Develon,https://eu.develon-ce.com/en/products/wheel-excavators
EC18E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EC20E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
ECR18E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
ECR25D,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EC27D,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EC37,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
ECR40,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
ECR50,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
ECR58,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
ECR88D,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
ECR145E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
ECR145EL,Volvo,https://www.volvoce.com/canada/en-ca/volvo-services/activecare-direct/activecare-direct-eligible-machines/
ECR235E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
ECR235EL,Volvo,https://www.volvoce.com/canada/en-ca/volvo-services/activecare-direct/activecare-direct-eligible-machines/
ECR355E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EC140E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EC140EL,Volvo,https://www.volvoce.com/canada/en-ca/volvo-services/activecare-direct/activecare-direct-eligible-machines/
EC160EL,Volvo,https://www.volvoce.com/canada/en-ca/volvo-services/activecare-direct/activecare-direct-eligible-machines/
EC200E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EC220E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EC220EL,Volvo,https://www.volvoce.com/canada/en-ca/volvo-services/activecare-direct/activecare-direct-eligible-machines/
EC220ELR,Volvo,https://www.volvoce.com/canada/en-ca/volvo-services/activecare-direct/activecare-direct-eligible-machines/
EC230,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EC250E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EC250EL,Volvo,https://www.volvoce.com/canada/en-ca/volvo-services/activecare-direct/activecare-direct-eligible-machines/
EC250ELR,Volvo,https://www.volvoce.com/canada/en-ca/volvo-services/activecare-direct/activecare-direct-eligible-machines/
EC300E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EC300EL,Volvo,https://www.volvoce.com/canada/en-ca/volvo-services/activecare-direct/activecare-direct-eligible-machines/
EC300ELR,Volvo,https://www.volvoce.com/canada/en-ca/volvo-services/activecare-direct/activecare-direct-eligible-machines/
EC350E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EC350EL,Volvo,https://www.volvoce.com/canada/en-ca/volvo-services/activecare-direct/activecare-direct-eligible-machines/
EC380D,Volvo,https://www.volvoce.com/-/media/volvoce/global/products/excavators/crawler-excavators/brochures/brochure_ec380d_ec480d_en_30_20030338-e.pdf
EC380DL,Volvo,https://www.volvoce.com/-/media/volvoce/global/products/excavators/crawler-excavators/brochures/brochure_ec380d_ec480d_en_30_20030338-e.pdf
EC380DLR,Volvo,https://www.volvoce.com/-/media/volvoce/global/products/excavators/crawler-excavators/brochures/brochure_ec380d_ec480d_en_30_20030338-e.pdf
EC380E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EC380EL,Volvo,https://www.volvoce.com/-/media/volvoce/global/products/excavators/crawler-excavators/brochures/brochure_ec350e_ec380e_t4f_en_na_22_voe2220009347.pdf
EC380ELR,Volvo,https://www.volvoce.com/-/media/volvoce/global/products/excavators/crawler-excavators/brochures/brochure_ec350e_ec380e_t4f_en_na_22_voe2220009347.pdf
EC380EHR,Volvo,https://www.volvoce.com/canada/en-ca/volvo-services/activecare-direct/activecare-direct-eligible-machines/
EC380E Hybrid,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/ec380e-hybrid/
EC400,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EC400 Hybrid,Volvo,https://www.volvoce.com/europe/en/products/excavators/
EC480D,Volvo,https://www.volvoce.com/-/media/volvoce/global/products/excavators/crawler-excavators/brochures/brochure_ec380d_ec480d_en_30_20030338-e.pdf
EC480DL,Volvo,https://www.volvoce.com/-/media/volvoce/global/products/excavators/crawler-excavators/brochures/brochure_ec380d_ec480d_en_30_20030338-e.pdf
EC480DLR,Volvo,https://www.volvoce.com/-/media/volvoce/global/products/excavators/crawler-excavators/brochures/brochure_ec380d_ec480d_en_30_20030338-e.pdf
EC480E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/ec480e/
EC480EL,Volvo,https://www.volvoce.com/-/media/volvoce/global/products/excavators/crawler-excavators/brochures/brochure_ec480e_t4f_en_22_voe2230009333.pdf
EC480ELR,Volvo,https://www.volvoce.com/-/media/volvoce/global/products/excavators/crawler-excavators/brochures/brochure_ec480e_t4f_en_22_voe2230009333.pdf
EC480EHR,Volvo,https://www.volvoce.com/canada/en-ca/volvo-services/activecare-direct/activecare-direct-eligible-machines/
EC500,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EC550E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EC750E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EC750EL,Volvo,https://www.volvoce.com/canada/en-ca/volvo-services/activecare-direct/activecare-direct-eligible-machines/
EC750EHR,Volvo,https://www.volvoce.com/canada/en-ca/volvo-services/activecare-direct/activecare-direct-eligible-machines/
EC950F,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EW60E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EWR130E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EWR150,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EWR150E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EWR170,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EWR170E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EW160E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EW180E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EW200E MH,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EW220E,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
EW240E MH,Volvo,https://www.volvoce.com/united-states/en-us/products/excavators/
SY55C,SANY,https://www.sanyglobal.com/product/excavator/small_excavator/
SY60C,SANY,https://www.sanyglobal.com/product/excavator/small_excavator/
SY65W,SANY,https://www.sanyglobal.com/product/excavator/small_excavator/
SY75C,SANY,https://www.sanyglobal.com/product/excavator/small_excavator/
SY80U,SANY,https://www.sanyglobal.com/product/excavator/small_excavator/
SY95C,SANY,https://www.sanyglobal.com/product/excavator/small_excavator/
SY135C,SANY,https://www.sanyglobal.com/product/excavator/small_excavator/
SY135F,SANY,https://www.sanyglobal.com/product/excavator/small_excavator/
SY155U,SANY,https://www.sanyglobal.com/product/excavator/small_excavator/
SY155H,SANY,https://www.sanyglobal.com/product/excavator/small_excavator/
SY155W,SANY,https://www.sanyglobal.com/product/excavator/wheel_excavator/
SY1050H,SANY,https://www.sanyglobal.com/product/excavator/mining-excavators/
SY1250H,SANY,https://www.sanyglobal.com/product/excavator/mining-excavators/
SY2000H,SANY,https://www.sanyglobal.com/product/excavator/mining-excavators/
SY3000E,SANY,https://www.sanyglobal.com/product/excavator/mining-excavators/
SY4000H,SANY,https://www.sanyglobal.com/product/excavator/mining-excavators/
E10Z,Bobcat,https://www.bobcat.com/eu/en/equipment/mini-excavators
E17,Bobcat,https://www.bobcat.com/eu/en/equipment/mini-excavators
E19,Bobcat,https://www.bobcat.com/eu/en/equipment/mini-excavators
E20Z,Bobcat,https://www.bobcat.com/eu/en/equipment/mini-excavators
E26,Bobcat,https://www.bobcat.com/eu/en/equipment/mini-excavators
E27Z,Bobcat,https://www.bobcat.com/eu/en/equipment/mini-excavators
E27,Bobcat,https://www.bobcat.com/eu/en/equipment/mini-excavators
E34,Bobcat,https://www.bobcat.com/eu/en/equipment/mini-excavators
E35,Bobcat,https://www.bobcat.com/eu/en/equipment/mini-excavators
E37,Bobcat,https://www.bobcat.com/eu/en/equipment/mini-excavators
E50,Bobcat,https://www.bobcat.com/eu/en/equipment/mini-excavators
E55,Bobcat,https://www.bobcat.com/eu/en/equipment/mini-excavators
E57W,Bobcat,https://www.bobcat.com/eu/en/equipment/mini-excavators
E60,Bobcat,https://www.bobcat.com/eu/en/equipment/mini-excavators
E88,Bobcat,https://www.bobcat.com/eu/en/equipment/mini-excavators/6-10t-mini-excavators
S450,Bobcat,https://www.bobcat.com/na/en/equipment/loaders/skid-steer-loaders
S510,Bobcat,https://www.bobcat.com/na/en/equipment/loaders/skid-steer-loaders
S530,Bobcat,https://www.bobcat.com/na/en/equipment/loaders/skid-steer-loaders
S550,Bobcat,https://www.bobcat.com/na/en/equipment/loaders/skid-steer-loaders
S590,Bobcat,https://www.bobcat.com/na/en/equipment/loaders/skid-steer-loaders
S64,Bobcat,https://www.bobcat.com/na/en/equipment/loaders/skid-steer-loaders
S66,Bobcat,https://www.bobcat.com/na/en/equipment/loaders/skid-steer-loaders
S70,Bobcat,https://www.bobcat.com/na/en/equipment/loaders/skid-steer-loaders
S76,Bobcat,https://www.bobcat.com/na/en/equipment/loaders/skid-steer-loaders
S86,Bobcat,https://www.bobcat.com/na/en/equipment/loaders/skid-steer-loaders
T450,Bobcat,https://www.bobcat.com/na/en/equipment/loaders/compact-track-loaders
T550,Bobcat,https://www.bobcat.com/na/en/equipment/loaders/compact-track-loaders
T590,Bobcat,https://www.bobcat.com/na/en/equipment/loaders/compact-track-loaders
T64,Bobcat,https://www.bobcat.com/na/en/equipment/loaders/compact-track-loaders
T66,Bobcat,https://www.bobcat.com/na/en/equipment/loaders/compact-track-loaders
T650,Bobcat,https://www.bobcat.com/na/en/equipment/loaders/compact-track-loaders
T76,Bobcat,https://www.bobcat.com/na/en/equipment/loaders/compact-track-loaders
T770,Bobcat,https://www.bobcat.com/na/en/equipment/loaders/compact-track-loaders
T86,Bobcat,https://www.bobcat.com/na/en/equipment/loaders/compact-track-loaders
8008 CTS,JCB,https://www.jcb.com/en-GB/products/machines/mini-excavators/
16C-1,JCB,https://www.jcb.com/en-GB/products/machines/mini-excavators/
