정렬순위,원본구분,원본No,업체명/사이트명,도메인,홈페이지URL,원본출처URL,확인한_매물페이지URL,매물수_추정,매물수_산정근거,응답방식,응답방식_근거,HTTP상태,Content-Type,페이지제목,매물페이지여부,페이지네이션_최대,첫페이지_노출매물수,크롤링_필요정보/전략,요청시도URL,원본_공식성등급,원본_사업품목,원본_대표전화,원본_검토메모,자동확인일
1,원본CSV,91,(유)동양중기매매,4396200.com,http://동양중기매매.kr,https://www.4396200.com/sub6_1.html?cate_cd=2 ; https://www.4396200.com/main_v.html,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,http://동양중기매매.kr [200] || https://www.4396200.com/sub6_1.html?cate_cd=2 [200] || https://www.4396200.com/main_v.html [200] || http://xn--ok0b90iwwfa650mv3e.kr/bbs/board.php?bo_table=B102 [200] || http://xn--ok0b90iwwfa650mv3e.kr/bbs/board.php?bo_table=B101 [200] || http://xn--ok0b90iwwfa650mv3e.kr/bbs/board.php?bo_table=B103 [200] || http://xn--ok0b90iwwfa650mv3e.kr/bbs/group.php?gr_id=G01 [200] || http://xn--ok0b90iwwfa650mv3e.kr/bbs/group.php?gr_id=G02 [200] || http://xn--ok0b90iwwfa650mv3e.kr/bbs/group.php?gr_id=G04 [200] || http://xn--ok0b90iwwfa650mv3e.kr/bbs/group.php?gr_id=G06 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200],B,건설기계/중장비 매매 중개,010-8200-9091,검색결과와 4396200 VIP/업체 목록에서 전화/팩스/이메일 확인.,2026-04-29
2,원본CSV,99,(유)유진종합중기,4396200.com,,https://4396200.com/sub6_1.html?cate_cd=1&find=&page=2&search=,https://4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,https://4396200.com/sub6_1.html?cate_cd=1&find=&page=2&search= [200] || https://4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,지게차 임대,061-462-7777,임대 중심. 매매 타겟 여부는 후속 검증 권장.,2026-04-29
3,원본CSV,107,(주)광림 중서부영업소,4396200.com,https://blog.naver.com/kissen4,https://www.4396200.com/sub6_1.html?cate_cd=2&find=&page=7&search=,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,https://blog.naver.com/kissen4 [200] || https://www.4396200.com/sub6_1.html?cate_cd=2&find=&page=7&search= [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,유압크레인/특장차량/전기공사 차량 매매,,상호명 직매칭은 아니지만 건설장비/크레인 매매 전문 후보.,2026-04-29
4,원본CSV,98,(주)국제건설중기,4396200.com,,https://4396200.com/sub6_1.html?cate_cd=1&find=&page=2&search=,https://4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,https://4396200.com/sub6_1.html?cate_cd=1&find=&page=2&search= [200] || https://4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,굴삭기 렌탈/임대,031-356-7624,임대 중심이나 상호명 키워드와 건설장비 취급으로 후보 포함.,2026-04-29
5,원본CSV,97,(주)서울건설기계,4396200.com,http://kubotaseoul.com/index.php,https://4396200.com/sub6_1.html?cate_cd=1&find=&page=2&search=,https://4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,http://kubotaseoul.com/index.php [404] || https://4396200.com/sub6_1.html?cate_cd=1&find=&page=2&search= [200] || https://4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,"구보다 공식 대리점, 중고굴삭기 판매/렌탈/정비",,4396200 목록에서 홈페이지/연락처/주소 확인.,2026-04-29
6,원본CSV,113,(주)울산건설기계,4396200.com,,https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=8&search=,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=8&search= [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,건설기계 지입/매매/캐피탈/보험,052-289-8123,4396200 검색결과에서 지입/매매/캐피탈/보험 문구 확인.,2026-04-29
7,원본CSV,110,(주)청수건설중기매매,4396200.com,,https://www.4396200.com/sub6_1.html?cate_cd=2&find=&page=7&search=,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,https://www.4396200.com/sub6_1.html?cate_cd=2&find=&page=7&search= [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,덤프트럭 전문 매매상사,031-353-4383,4396200 검색결과에서 덤프트럭 전문 매매상사로 확인.,2026-04-29
8,원본CSV,88,HJ해진건기,4396200.com,,https://www.4396200.com/sub6_1.html?cate_cd=2,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,https://www.4396200.com/sub6_1.html?cate_cd=2 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,굴삭기 전문 매매,,4396200 장비매매업체 목록에서 연락처/주소 확인.,2026-04-29
9,원본CSV,96,YM건설기계매매상사,4396200.com,,https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=3&search=,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=3&search= [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,건설기계 매매,,4396200 검색결과에서 “YM건기매매상사 김윤수”와 휴대폰 확인. 상세 주소/이메일 추가 확인 필요.,2026-04-29
10,원본CSV,112,강토중장비/코벨코굴삭기,4396200.com,http://www.kangtohmc.com,https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=6&search=,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,http://www.kangtohmc.com [ConnectionError: HTTPConnectionPool(host='www.kang] || https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=6&search= [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,코벨코굴삭기/중장비 매매 후보,,검색결과의 홈페이지는 일부 잘림. 정확 URL은 후속 확인 필요.,2026-04-29
