사이트순위,도메인,대표사이트명,확인한_매물페이지URL,매물수_추정,매물수_산정근거,응답방식,매물페이지여부,연결_업체/행수,연결_업체명,원본No목록,크롤링_필요정보/전략,자동확인일
1,4396200.com,4396200.com 공용매물/플랫폼,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,Y,32,(유)동양중기매매 | (유)유진종합중기 | (주)광림 중서부영업소 | (주)국제건설중기 | (주)서울건설기계 | (주)울산건설기계 | (주)청수건설중기매매 | HJ해진건기 | YM건설기계매매상사 | 강토중장비/코벨코굴삭기 | 거산중장비매매단지 | 고려종합건기 | 구보다현대건설장비 | 그린중기(주) | 동중중기매매상사 | 명성건설기계매매상사 | 비젼코리아 건설기계 매매상사 | 서해지게차 | 선진중기 | 수성건설기계 | 양산종합건기 | 에스엘건기 중고굴삭기매매 | 오라중기매매상사 | 왕성중장비매매상사 | 월드코리아 | 장백건설기계매매상사 | 중앙건설기계매매상사 | 지누건기 | 태극상사 | 한세무역,91 | 99 | 107 | 98 | 97 | 113 | 110 | 88 | 96 | 112 | 102 | 94 | 90 | 58 | 69 | 93 | 48 | 100 | 105 | 89 | 101 | 106 | 115 | 95 | 114 | 92 | 103 | 108 | 109 | 111 | 104 | 87,query_params=cate_code=100100 | requests+BeautifulSoup 가능,2026-04-29
2,jigecha.kr,jigecha.kr 공용매물/플랫폼,http://jigecha.kr/kwa-sell_jigecha,7392,"페이지네이션 추정: page_max=264, first_page_visible=28",HTML 응답(스크립트 단서 있음),Y,9,광성중기매매상사 | 금일중기매매상사 | 대구중기매매상사 | 대왕중기매매상사 | 두산건기매매상사 | 성도건설기계매매상사 | 창성중기매매상사 | 충남건설기계매매상사 | 현대중장비매매상사,79 | 81 | 63 | 117 | 78 | 84 | 83 | 80 | 86,requests+BeautifulSoup 가능,2026-04-29
3,imcg.jigecha.kr,imcg.jigecha.kr 공용매물/플랫폼,http://imcg.jigecha.kr/kwa-sell_jigecha,7392,"페이지네이션 추정: page_max=264, first_page_visible=28",HTML 응답(스크립트 단서 있음),Y,2,제일중기매매상사 | 중기맨,85 | 118,requests+BeautifulSoup 가능,2026-04-29
4,wpjq.jigecha.kr,청룡중장비매매상사,http://wpjq.jigecha.kr/kwa-sell_jigecha,7392,"페이지네이션 추정: page_max=264, first_page_visible=28",HTML 응답(스크립트 단서 있음),Y,1,청룡중장비매매상사,82,requests+BeautifulSoup 가능,2026-04-29
5,ty-heavyequipment.com,태양중기매매상사,https://ty-heavyequipment.com/taeyang_product_list/?cat1=18,1522,페이지 표시 총건수: 총 1522 건,HTML 응답(스크립트 단서 있음),Y,1,태양중기매매상사,1,query_params=cat1=18 | requests+BeautifulSoup 가능,2026-04-29
6,2963566.com,서울중기매매상사,https://www.2963566.com/bbs/board.php?bo_table=m20011,179,페이지 표시 총건수: 총 게시물 179건,HTML 응답(스크립트 단서 있음),Y,1,서울중기매매상사,3,query_params=bo_table=m20011 | bo_table | requests+BeautifulSoup 가능,2026-04-29
7,3dump.co.kr,삼성중기매매상사,https://www.3dump.co.kr/bbs/board.php?bo_table=m01_01&ca_id=20b0,118,"가격 패턴 수=118, year_hits=94",HTML 응답,Y,1,삼성중기매매상사,2,query_params=bo_table=m01_01&ca_id=20b0 | bo_table | requests+BeautifulSoup 가능,2026-04-29
8,4833.com,선우중장비매매상사,http://www.4833.com/Machine/RecomList.asp?MType=18,101,페이지 표시 총건수: 전체보기 (101),HTML 응답,Y,1,선우중장비매매상사,71,query_params=MType=18 | requests+BeautifulSoup 가능,2026-04-29
9,perfect82.com,퍼펙트82중장비,https://www.perfect82.com/fnew100,100,"노출 매물 상세링크 수=100, price_hits=99, year_hits=1",HTML 응답(스크립트 단서 있음),Y,1,퍼펙트82중장비,WEB-1,requests+BeautifulSoup 가능,2026-04-29
10,kcmta.kr,kcmta.kr 공용매물/플랫폼,http://kcmta.kr/2018_new/www/bbs/board.php?bo_table=board03&me_code=3020,35,"페이지네이션 추정: page_max=7, first_page_visible=5",HTML 응답(스크립트 단서 있음),Y,17,(주)동남중기(포항지게차마트) | 계명건기 | 금오중기매매상사 | 남아건설기계상사 | 대연건설기계매매상사 | 미강건설기계 | 부림중공업 | 상원건설기계 | 원주건설기계 | 조은건설기계 | 진성건설중기매매상사 | 천일건설기계매매상사 | 청광건설기계매매 | 충남중기매매 | 태양중기매매상사(경주) | 하나중기매매상사 | 한양중기매매상사,49 | 41 | 31 | 39 | 33 | 40 | 42 | 37 | 38 | 34 | 50 | 32 | 35 | 47 | 36 | 30 | 51,query_params=bo_table=board03&me_code=3020 | bo_table | requests+BeautifulSoup 가능,2026-04-29
11,ty-heavyequipment.com,삼일중기,https://ty-heavyequipment.com/taeyang_product_list/,15,페이지 표시 총건수: 매물 15개,HTML 응답(스크립트 단서 있음),Y,1,삼일중기,62,requests+BeautifulSoup 가능,2026-04-29
12,machineyh.co.kr,가야건설기계,https://www.machineyh.co.kr/virtual/gaya/product/?bcate=2&scate=458,12,"노출 매물 상세링크 수=12, price_hits=7, year_hits=3",HTML 응답,Y,1,가야건설기계,53,query_params=bcate=2&scate=458 | requests+BeautifulSoup 가능,2026-04-29
13,machineyh.co.kr,중기쟁이중공업,https://www.machineyh.co.kr/virtual/sie8197/,9,"노출 매물 상세링크 수=9, price_hits=5, year_hits=13",HTML 응답,Y,1,중기쟁이중공업,45,requests+BeautifulSoup 가능,2026-04-29
14,machineyh.co.kr,래드중기,https://www.machineyh.co.kr/virtual/cacheru/product/?bcate=4&scate=283,8,"노출 매물 상세링크 수=8, price_hits=5, year_hits=8",HTML 응답,Y,1,래드중기,13,query_params=bcate=4&scate=283 | requests+BeautifulSoup 가능,2026-04-29
15,backdoo1544.com,백두중장비 매매상사,https://backdoo1544.com/,7,"노출 매물 상세링크 수=7, price_hits=0, year_hits=0",HTML 응답,Y,1,백두중장비 매매상사,4,requests+BeautifulSoup 가능,2026-04-29
16,machineyh.co.kr,미니중기매매상사,https://www.machineyh.co.kr/virtual/whrnjsdlf/product/,5,"노출 매물 상세링크 수=5, price_hits=4, year_hits=4",HTML 응답,Y,1,미니중기매매상사,10,requests+BeautifulSoup 가능,2026-04-29
